cell,d_model,dropout,weight_decay,init_seed,parameters,best_step,elapsed_seconds,peak_allocated_bytes,battles_seen,battles_with_decisions,battles_without_decisions,decision_states,forced_states,samples,kl_dev,kl_over_decision_states,policy_kl,teacher_entropy,teacher_top1_agreement,teacher_choice_agreement,teacher_choice_agreement_decision_states,loss,policy_loss,outcome_loss,value_loss
M128-R0-s17,128,0.1,0.01,17,1949325,225,29.870791564986575,85715968,24,24,0,247,83,330,0.11308917891662795,0.10537686793186404,0.0788729859120918,0.9913732904376406,0.6909090909090909,0.6848484848484848,0.5789473684210527,18.80904292482318,16.901447637153396,3.553371475682114,0.13090957171340106
M128-R0-s29,128,0.1,0.01,29,1949325,400,37.594023162004305,85715968,24,24,0,247,83,330,0.1209960415075077,0.12034275361642181,0.09007472860993761,0.9913732904376406,0.6545454545454545,0.6606060606060606,0.5465587044534413,19.06934431249445,17.080533253062857,3.728417580055468,0.12460250530010936
M128-R0-s43,128,0.1,0.01,43,1949325,400,42.39936350300559,85715968,24,24,0,247,83,330,0.11881034395204655,0.11408897806034397,0.085393869109226,0.9913732904376406,0.7151515151515152,0.6909090909090909,0.5870445344129555,18.84266969507391,17.004480015147816,3.3855154752731322,0.1454321326433935
M128-R1-s17,128,0.2,0.05,17,1949325,225,44.5589072300063,85715968,24,24,0,247,83,330,0.11242699401836799,0.10445111543543426,0.0781800774010745,0.9913732904376406,0.7151515151515152,0.703030303030303,0.6032388663967612,18.767391089237098,16.88854409420129,3.4825152758396034,0.1375891547607766
M128-R1-s29,128,0.2,0.05,29,1949325,400,44.77155068900902,85715968,24,24,0,247,83,330,0.11697795883989566,0.1145107535577496,0.08570956461357349,0.9913732904376406,0.6787878787878788,0.6878787878787879,0.582995951417004,19.04578017610492,17.012901109637635,3.7652496764154146,0.15025441038394063
M128-R1-s43,128,0.2,0.05,43,1949325,400,31.715377205022378,85715968,24,24,0,247,83,330,0.11231231177107016,0.11052091787701193,0.08272323057507024,0.9913732904376406,0.703030303030303,0.6848484848484848,0.5789473684210527,18.846719221635297,16.95859240907611,3.492765606533397,0.14174436435921853
M192-R0-s17,192,0.1,0.01,17,3587533,225,25.691536224010633,130095104,24,24,0,247,83,330,0.1328687685872544,0.11962871271589025,0.08954028162089261,0.9913732904376406,0.6909090909090909,0.6878787878787879,0.582995951417004,19.055085187969787,17.05927607796409,3.7696595972234554,0.11097922754812647
M192-R0-s29,192,0.1,0.01,29,3587533,375,28.22262011098792,130095104,24,24,0,247,83,330,0.1188871031165084,0.10979948871531467,0.08218325213952497,0.9913732904376406,0.703030303030303,0.7,0.5991902834008097,18.83659661032937,16.95444561351429,3.5478578509706438,0.1082220526955401
M192-R0-s43,192,0.1,0.01,43,3587533,375,29.674202119000256,130095104,24,24,0,247,83,330,0.12868600260435678,0.11437629495072461,0.08560892284819574,0.9913732904376406,0.7181818181818181,0.703030303030303,0.6032388663967612,19.19047554478501,17.005327559962417,4.079256106867935,0.1455200566926082
M192-R1-s17,192,0.2,0.05,17,3587533,225,25.34059921099106,130095104,24,24,0,247,83,330,0.13919476016242222,0.1179541388021307,0.08828688796722528,0.9913732904376406,0.703030303030303,0.6909090909090909,0.5870445344129555,19.00540345509847,17.047222755894516,3.681470476136063,0.11744537195190788
M192-R1-s29,192,0.2,0.05,29,3587533,225,26.007640137017006,130095104,24,24,0,247,83,330,0.12417947049328952,0.11596216737982715,0.08679592338475314,0.9913732904376406,0.7090909090909091,0.696969696969697,0.5951417004048583,18.907568474971885,17.02942293918494,3.503384581479159,0.12645323187620802
M192-R1-s43,192,0.2,0.05,43,3587533,225,27.25617236600374,130095104,24,24,0,247,83,330,0.12604896371706378,0.11446309988556604,0.08567389705867479,0.9913732904376406,0.703030303030303,0.6909090909090909,0.5870445344129555,19.025472721909033,17.007629053520432,3.784418160265142,0.12563432391281382
